NAME,PRIORNAME1,FED_RSS_ID,UNINUM,WEBADDR,ZIP,CHARTER_NUMBER
1st Community Bank,State Bank of Sherrard,338945,7485,http://www.1stcommunitybanks.com,61281,
Teutopolis State Bank,,134848,7486,www.teutopolisstatebank.com,62467,
Bank of Rantoul,Fowler State Bank,37949,7488,https://www.bankofrantoul.bank,61866,
Bank of Yates City,,371849,7489,http://www.bankofyatescity.com,61572,
Hartsburg State Bank,,799939,7490,,62643,
Liberty Bank,The Farmers Bank of Liberty,371942,7493,www.liberty.bank,62347,
"The Peoples State Bank of Newton, Illinois",,326344,7496,www.psbnewton.com,62448,
CIBM Bank,Central Illinois Bank,340742,7501,www.cibmbank.com,61821,
Fairview State Banking Company,,601032,7502,http://www.fairviewstate.com,61432,
Bank of Farmington,,976534,7503,http://www.bankoffarmington.com,61531,
Flanagan State Bank,,979133,7504,www.flanaganstatebank.com,61740,
BankOrion,State Bank of Orion,855741,7508,http://WWW.BANKORION.COM,61273,
Solutions Bank,Forreston State Bank,927134,7509,www.solutions.bank,61030,
Iroquois Farmers State Bank,,1007930,7511,www.iroqbank.com,60945,
The Farmers State Bank and Trust Company,,481944,7512,http://www.fsbtco.com,62650,
Bank of Kampsville,,487142,7514,www.thebankofkampsville.com,62053,
Citizens State Bank,,212344,7520,http://www.csbwyoming.com,52362,
VISIONBANK OF IOWA,City State Bank,269049,7523,www.visionbank.com,50010,
Sibley State Bank,,598543,7524,http://www.sibleystatebank.com,51249,
FreedomBank,Farmersburg Savings Bank,652043,7525,www.freedombnk.com,52043,
Availa Bank,Carroll County State Bank,859141,7528,www.availa.bank,51401,
Commercial Bank,Parsons Commercial Bank,296559,7532,commercialbank.net,67357,
"Citizens State Bank and Trust Co., Ellsworth, Kansas",Citizens State Bank,733951,7533,WWW.CSBANC.COM,67439,
Bank of Abbeville & Trust Company,,213538,7536,www.bankofabbeville.com,70510,
Caldwell Bank & Trust Company,,925354,7538,caldwellbankandtrust.com,71418,
Bank of Sunset and Trust Company,,910239,7541,www.bankofsunset.com,70584,
Franklin State Bank & Trust Company,,1006652,7544,www.fsbnet.com,71295,
United Bank of Michigan,United Community Bank,150044,7552,http://www.unitedbank4u.com,49546,
Huron Community Bank,Michigan Bank - Huron,475345,7554,www.bankhcb.com,48730,
Cadence Bank,BancorpSouth Bank,606046,7557,www.cadencebank.com,38804,
Richton Bank & Trust Company,,40033,7560,www.richtonbank.com,39476,
Little Horn State Bank,,537551,7562,www.littlehornstatebank.com,59034,
